Date|,Time|,Temperature|F,Dew Point|F,Humidity|%,Wind|,Wind Speed|mph,Wind Gust|mph,Pressure|in,Precip.|in,Condition|
2018-01-01,12:20 AM,52,41,67,SSW,17,0,28.80,0.0,Fair
2018-01-01,12:50 AM,52,41,67,SSW,21,0,28.80,0.0,Fair / Windy
2018-01-01,1:20 AM,52,41,67,SSW,22,0,28.78,0.0,Fair / Windy
2018-01-01,1:50 AM,52,41,67,SSW,21,0,28.78,0.0,Fair / Windy
2018-01-01,2:20 AM,52,39,62,SSW,20,0,28.78,0.0,Fair
2018-01-01,2:50 AM,52,39,62,SSW,17,29,28.78,0.0,Fair
2018-01-01,3:20 AM,54,39,58,SSW,16,0,28.78,0.0,Fair
2018-01-01,3:50 AM,52,39,62,SSW,17,0,28.78,0.0,Fair
2018-01-01,4:20 AM,52,39,62,SW,16,30,28.78,0.0,Fair
2018-01-01,4:50 AM,52,39,62,SW,14,0,28.80,0.0,Mostly Cloudy
2018-01-01,5:20 AM,52,39,62,SW,15,0,28.80,0.0,Mostly Cloudy
2018-01-01,5:50 AM,52,39,62,SW,15,0,28.80,0.0,Mostly Cloudy
2018-01-01,6:20 AM,50,39,66,SW,14,0,28.80,0.0,Mostly Cloudy
2018-01-01,6:50 AM,50,39,66,SW,13,0,28.80,0.0,Fair
2018-01-01,7:20 AM,50,37,62,WSW,13,0,28.83,0.0,Mostly Cloudy
2018-01-01,7:50 AM,48,37,66,SW,14,0,28.83,0.0,Cloudy
2018-01-01,8:20 AM,48,37,66,WSW,13,0,28.86,0.0,Mostly Cloudy
2018-01-01,8:50 AM,48,37,66,SW,14,0,28.86,0.0,Mostly Cloudy
2018-01-01,9:20 AM,48,36,62,SW,13,0,28.86,0.0,Mostly Cloudy
2018-01-01,9:50 AM,48,36,62,SW,9,0,28.89,0.0,Showers in the Vicinity
2018-01-01,10:20 AM,46,37,71,SW,14,0,28.89,0.0,Mostly Cloudy
2018-01-01,10:50 AM,45,37,76,WSW,8,0,28.92,0.0,Partly Cloudy
2018-01-01,11:20 AM,46,37,71,SW,12,0,28.89,0.0,Mostly Cloudy
2018-01-01,11:50 AM,46,37,71,SW,8,0,28.89,0.0,Mostly Cloudy
2018-01-01,12:20 PM,48,37,66,WSW,15,26,28.89,0.0,Partly Cloudy
2018-01-01,12:50 PM,46,36,66,WSW,13,0,28.89,0.0,Mostly Cloudy
2018-01-01,1:20 PM,46,34,62,WSW,14,31,28.89,0.0,Mostly Cloudy
2018-01-01,1:50 PM,46,34,62,WSW,15,0,28.89,0.0,Mostly Cloudy
2018-01-01,2:20 PM,46,32,57,WSW,17,0,28.89,0.0,Fair
2018-01-01,2:50 PM,46,34,62,WSW,16,0,28.86,0.0,Fair
2018-01-01,3:20 PM,45,34,66,SW,13,0,28.86,0.0,Fair
2018-01-01,3:50 PM,45,34,66,SW,16,0,28.86,0.0,Fair
2018-01-01,4:20 PM,45,32,61,SW,12,0,28.86,0.0,Fair
2018-01-01,4:50 PM,41,32,70,SSW,9,0,28.86,0.0,Fair
2018-01-01,5:20 PM,41,32,70,S,10,0,28.86,0.0,Fair
2018-01-01,5:50 PM,41,30,65,S,9,0,28.86,0.0,Fair
2018-01-01,6:20 PM,41,32,70,S,10,0,28.83,0.0,Fair
2018-01-01,6:50 PM,41,30,65,S,12,0,28.83,0.0,Fair
2018-01-01,7:20 PM,39,30,70,S,12,0,28.83,0.0,Fair
2018-01-01,7:50 PM,39,28,65,S,13,0,28.83,0.0,Fair
2018-01-01,8:20 PM,39,30,70,S,10,0,28.83,0.0,Fair
2018-01-01,8:50 PM,39,30,70,SSE,8,0,28.83,0.0,Fair
2018-01-01,9:20 PM,41,32,70,S,9,0,28.80,0.0,Fair
2018-01-01,9:50 PM,41,32,70,S,10,0,28.80,0.0,Fair
2018-01-01,10:20 PM,41,32,70,S,10,0,28.80,0.0,Fair
2018-01-01,10:50 PM,41,34,76,SSE,9,0,28.80,0.0,Partly Cloudy
2018-01-01,11:20 PM,41,34,76,SSE,9,0,28.80,0.0,Fair
2018-01-01,11:50 PM,41,34,76,SE,9,0,28.78,0.0,Mostly Cloudy
2018-01-02,12:20 AM,41,32,70,SSE,8,0,28.78,0.0,Fair
2018-01-02,12:50 AM,43,32,66,S,8,0,28.78,0.0,Mostly Cloudy
2018-01-02,1:20 AM,41,34,76,SSE,13,0,28.78,0.0,Light Rain
2018-01-02,1:50 AM,41,34,76,S,8,0,28.78,0.0,Light Rain
2018-01-02,2:20 AM,41,34,76,S,8,0,28.78,0.0,Light Rain
2018-01-02,2:50 AM,41,36,81,S,7,0,28.78,0.0,Light Rain
2018-01-02,3:20 AM,39,36,87,S,8,0,28.75,0.0,Light Rain
2018-01-02,3:50 AM,41,36,81,S,9,0,28.75,0.0,Mostly Cloudy
2018-01-02,4:20 AM,39,36,87,S,8,0,28.75,0.0,Cloudy
2018-01-02,4:50 AM,41,36,81,S,9,0,28.75,0.0,Light Rain
2018-01-02,5:20 AM,41,36,81,SSW,10,0,28.75,0.0,Mostly Cloudy
2018-01-02,5:50 AM,41,36,81,SSW,9,0,28.78,0.0,Mostly Cloudy
2018-01-02,6:20 AM,43,37,81,WSW,10,0,28.78,0.0,Mostly Cloudy
2018-01-02,6:50 AM,41,36,81,W,15,28,28.80,0.0,Light Rain
2018-01-02,7:20 AM,41,36,81,W,15,0,28.80,0.0,Mostly Cloudy
2018-01-02,7:50 AM,39,36,87,W,15,0,28.83,0.0,Mostly Cloudy
2018-01-02,8:20 AM,39,36,87,WSW,13,0,28.86,0.0,Light Rain
2018-01-02,8:50 AM,39,36,87,W,12,0,28.86,0.0,Mostly Cloudy
2018-01-02,9:20 AM,39,36,87,W,15,0,28.89,0.0,Mostly Cloudy
2018-01-02,9:50 AM,37,36,93,W,12,0,28.92,0.0,Light Rain
2018-01-02,10:20 AM,37,36,93,W,12,0,28.92,0.0,Light Rain
2018-01-02,10:50 AM,37,36,93,W,13,0,28.95,0.0,Mostly Cloudy
2018-01-02,11:20 AM,37,36,93,W,12,0,28.95,0.0,Light Rain
2018-01-02,11:50 AM,37,36,93,W,13,0,28.98,0.0,Light Rain
2018-01-02,12:20 PM,37,36,93,W,14,0,28.98,0.0,Light Rain
2018-01-02,12:50 PM,39,36,87,W,12,0,28.98,0.0,Mostly Cloudy
2018-01-02,1:20 PM,39,37,93,W,10,0,29.01,0.0,Mostly Cloudy
2018-01-02,1:50 PM,39,37,93,W,10,0,29.01,0.0,Mostly Cloudy
2018-01-02,2:20 PM,39,36,87,W,12,0,29.01,0.0,Mostly Cloudy
2018-01-02,2:50 PM,41,36,81,W,12,0,29.03,0.0,Mostly Cloudy
2018-01-02,3:20 PM,41,36,81,W,10,0,29.03,0.0,Mostly Cloudy
2018-01-02,3:50 PM,41,36,81,W,8,0,29.03,0.0,Mostly Cloudy
2018-01-02,4:20 PM,41,36,81,W,7,0,29.03,0.0,Mostly Cloudy
2018-01-02,4:50 PM,41,36,81,W,9,0,29.06,0.0,Mostly Cloudy
2018-01-02,5:20 PM,41,36,81,W,9,0,29.06,0.0,Mostly Cloudy
2018-01-02,5:50 PM,41,36,81,WSW,7,0,29.06,0.0,Mostly Cloudy
2018-01-02,6:20 PM,39,36,87,WSW,8,0,29.06,0.0,Mostly Cloudy
2018-01-02,6:50 PM,39,36,87,W,8,0,29.06,0.0,Mostly Cloudy
2018-01-02,7:20 PM,39,36,87,WSW,8,0,29.06,0.0,Mostly Cloudy
2018-01-02,7:50 PM,39,36,87,WSW,8,0,29.06,0.0,Mostly Cloudy
2018-01-02,8:20 PM,39,36,87,W,8,0,29.06,0.0,Mostly Cloudy
2018-01-02,8:50 PM,39,36,87,WSW,9,0,29.06,0.0,Mostly Cloudy
2018-01-02,9:20 PM,39,36,87,SW,8,0,29.06,0.0,Partly Cloudy
2018-01-02,9:50 PM,37,34,87,SW,7,0,29.06,0.0,Partly Cloudy
2018-01-02,10:20 PM,36,32,87,SSW,9,0,29.06,0.0,Partly Cloudy
2018-01-02,10:50 PM,36,34,93,SSW,10,0,29.03,0.0,Partly Cloudy
