Date|,Time|,Temperature|F,Dew Point|F,Humidity|%,Wind|,Wind Speed|mph,Wind Gust|mph,Pressure|in,Precip.|in,Condition|
2016-01-01,12:00 AM,28,23,80,VAR,1,0,28.99,0.0,Light Snow
2016-01-01,12:30 AM,28,25,86,NNW,1,0,28.99,0.0,Light Snow
2016-01-01,12:53 AM,28,25,86,NNW,2,0,28.99,0.0,Light Snow
2016-01-01,1:00 AM,28,25,86,NNW,2,0,28.99,0.0,Light Snow
2016-01-01,1:30 AM,27,25,93,NNE,2,0,28.99,0.0,Light Snow
2016-01-01,2:00 AM,27,25,93,ENE,2,0,28.99,0.0,Mist
2016-01-01,2:30 AM,27,25,93,VAR,1,0,28.99,0.0,Cloudy
2016-01-01,3:00 AM,28,25,86,VAR,2,0,28.99,0.0,Cloudy
2016-01-01,3:30 AM,28,27,93,SE,3,0,28.99,0.0,Mist
2016-01-01,4:00 AM,28,27,93,S,5,0,28.99,0.0,Cloudy
2016-01-01,4:30 AM,28,27,93,SSW,5,0,28.99,0.0,Cloudy
2016-01-01,5:00 AM,28,27,93,SSW,5,0,28.99,0.0,Cloudy
2016-01-01,5:30 AM,28,27,93,SSW,5,0,28.99,0.0,Cloudy
2016-01-01,6:00 AM,28,27,93,SSW,6,0,28.97,0.0,Cloudy
2016-01-01,6:30 AM,28,27,93,SSW,3,0,28.97,0.0,Cloudy
2016-01-01,6:53 AM,28,27,93,SSW,6,0,28.97,0.0,Mostly Cloudy
2016-01-01,7:00 AM,28,27,93,SSW,6,0,28.97,0.0,Mostly Cloudy
2016-01-01,7:20 AM,28,27,93,SSW,3,0,28.97,0.0,Partly Cloudy
2016-01-01,7:30 AM,28,27,93,SW,5,0,28.99,0.0,Mostly Cloudy
2016-01-01,7:54 AM,28,27,93,SW,3,0,28.99,0.0,Mist
2016-01-01,8:00 AM,28,27,93,SW,3,0,28.99,0.0,Mist
2016-01-01,8:30 AM,28,27,93,VAR,2,0,28.99,0.0,Mist
2016-01-01,9:00 AM,30,27,86,SW,3,0,28.99,0.0,Cloudy
2016-01-01,9:30 AM,30,28,93,W,3,0,28.99,0.0,Cloudy
2016-01-01,9:53 AM,30,28,93,SW,5,0,28.99,0.0,Cloudy
2016-01-01,10:00 AM,30,28,93,SW,5,0,28.99,0.0,Cloudy
2016-01-01,10:30 AM,30,28,93,SW,6,0,28.99,0.0,Mostly Cloudy
2016-01-01,10:44 AM,32,28,87,SW,12,0,28.99,0.0,Cloudy
2016-01-01,11:00 AM,32,30,93,SW,10,0,28.99,0.0,Cloudy
2016-01-01,11:30 AM,32,30,93,W,6,0,28.99,0.0,Cloudy
2016-01-01,12:00 PM,34,30,87,WSW,8,0,28.99,0.0,Cloudy
2016-01-01,12:30 PM,34,30,87,WSW,12,0,28.97,0.0,Cloudy
2016-01-01,1:00 PM,34,32,93,WSW,12,0,28.97,0.0,Cloudy
2016-01-01,1:30 PM,34,32,93,SW,10,0,28.97,0.0,Cloudy
2016-01-01,2:00 PM,34,32,93,WSW,9,0,28.97,0.0,Cloudy
2016-01-01,2:10 PM,34,32,93,WSW,10,0,28.97,0.0,Cloudy
2016-01-01,2:30 PM,34,32,93,SW,9,0,28.97,0.0,Cloudy
2016-01-01,3:00 PM,34,30,87,WSW,7,0,28.97,0.0,Cloudy
2016-01-01,3:30 PM,34,32,93,SW,8,0,28.97,0.0,Cloudy
2016-01-01,4:00 PM,34,32,93,WSW,8,0,28.97,0.0,Cloudy
2016-01-01,4:30 PM,34,32,93,WSW,7,0,28.97,0.0,Cloudy
2016-01-01,5:00 PM,34,32,93,WSW,9,0,28.97,0.0,Cloudy
2016-01-01,5:30 PM,34,32,93,WSW,8,0,28.97,0.0,Cloudy
2016-01-01,6:00 PM,34,32,93,WSW,9,0,28.97,0.0,Cloudy
2016-01-01,6:30 PM,34,32,93,WSW,9,0,28.97,0.0,Cloudy
2016-01-01,7:00 PM,34,30,87,W,7,0,28.97,0.0,Cloudy
2016-01-01,7:30 PM,34,30,87,WSW,7,0,28.97,0.0,Cloudy
2016-01-01,8:00 PM,34,30,87,WSW,7,0,28.97,0.0,Cloudy
2016-01-01,8:30 PM,34,30,87,SW,6,0,28.97,0.0,Cloudy
2016-01-01,9:00 PM,32,30,93,WSW,6,0,28.94,0.0,Cloudy
2016-01-01,9:30 PM,34,30,87,SW,5,0,28.94,0.0,Cloudy
2016-01-01,10:00 PM,32,30,93,WNW,5,0,28.94,0.0,Cloudy
2016-01-01,10:30 PM,32,30,93,W,3,0,28.94,0.0,Cloudy
2016-01-01,11:00 PM,32,30,93,WNW,2,0,28.91,0.0,Cloudy
2016-01-01,11:30 PM,34,30,87,VAR,2,0,28.91,0.0,Cloudy
2016-01-02,12:00 AM,32,30,93,VAR,2,0,28.91,0.0,Cloudy
2016-01-02,12:30 AM,32,30,93,N,3,0,28.91,0.0,Cloudy
2016-01-02,1:00 AM,32,30,93,NNE,3,0,28.88,0.0,Cloudy
2016-01-02,1:30 AM,32,30,93,VAR,2,0,28.88,0.0,Mist
2016-01-02,2:00 AM,32,30,93,NNE,2,0,28.88,0.0,Mist
2016-01-02,2:30 AM,32,30,93,ENE,5,0,28.85,0.0,Mist
2016-01-02,2:49 AM,32,30,93,ENE,5,0,28.85,0.0,Mist
2016-01-02,3:00 AM,32,30,93,ENE,5,0,28.85,0.0,Mist
2016-01-02,3:26 AM,32,30,93,ENE,5,0,28.85,0.0,Fog
2016-01-02,3:30 AM,32,30,93,ENE,3,0,28.85,0.0,Fog
2016-01-02,4:00 AM,32,30,93,ENE,3,0,28.85,0.0,Fog
2016-01-02,4:30 AM,32,30,93,ENE,2,0,28.85,0.0,Fog
2016-01-02,5:00 AM,32,30,93,ENE,2,0,28.85,0.0,Fog
2016-01-02,5:30 AM,32,30,93,NE,5,0,28.83,0.0,Fog
2016-01-02,6:00 AM,32,30,93,NE,5,0,28.83,0.0,Fog
2016-01-02,6:30 AM,32,30,93,ENE,6,0,28.83,0.0,Fog
2016-01-02,7:00 AM,32,30,93,ENE,7,0,28.83,0.0,Mist
2016-01-02,7:15 AM,32,30,93,ENE,7,0,28.83,0.0,Mist
2016-01-02,7:30 AM,32,30,93,ENE,6,0,28.83,0.0,Mist
2016-01-02,7:47 AM,32,30,93,E,8,0,28.83,0.0,Freezing Drizzle
2016-01-02,8:00 AM,32,30,93,E,8,0,28.83,0.0,Mist
2016-01-02,8:30 AM,32,30,93,E,8,0,28.83,0.0,Mist
2016-01-02,9:00 AM,32,30,93,ESE,7,0,28.83,0.0,Cloudy
