-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2013 through 01/01/2021 
Location: Latitude  51.0432   Longitude 13.7383 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 212.42 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS
51.04321,13.73831,2013,03,16,    0.00,    2.04,   75.16,   99.22
51.04321,13.73831,2013,03,17,    0.04,    2.69,   78.11,   98.46
51.04321,13.73831,2013,03,18,    2.77,    3.51,   89.12,   97.23
51.04321,13.73831,2013,03,19,    6.74,    3.16,   93.14,   97.00
51.04321,13.73831,2013,03,20,    1.75,    3.31,   89.01,   97.94
51.04321,13.73831,2013,03,21,    1.18,    3.17,   90.05,   98.82
51.04321,13.73831,2013,03,22,    0.78,    2.67,   86.55,   99.41
51.04321,13.73831,2013,03,23,    0.03,    1.74,   75.76,   99.76
51.04321,13.73831,2013,03,24,    0.00,    1.63,   76.22,   99.69
51.04321,13.73831,2013,03,25,    0.00,    2.00,   78.99,   99.27
51.04321,13.73831,2013,03,26,    0.00,    2.12,   77.91,   98.91
51.04321,13.73831,2013,03,27,    0.62,    2.49,   83.49,   98.80
51.04321,13.73831,2013,03,28,    0.68,    3.06,   86.64,   98.56
51.04321,13.73831,2013,03,29,    6.02,    3.32,   91.77,   97.95
51.04321,13.73831,2013,03,30,    0.21,    2.88,   84.84,   98.14
51.04321,13.73831,2013,03,31,    0.94,    3.18,   88.32,   98.28
51.04321,13.73831,2013,04,01,    1.66,    3.04,   84.85,   98.46
51.04321,13.73831,2013,04,02,    0.22,    3.02,   83.11,   98.82
51.04321,13.73831,2013,04,03,    0.35,    3.08,   83.66,   99.08
51.04321,13.73831,2013,04,04,    0.58,    3.29,   87.73,   98.74
51.04321,13.73831,2013,04,05,    0.52,    3.61,   88.39,   98.40
51.04321,13.73831,2013,04,06,    1.11,    3.55,   89.34,   99.07
51.04321,13.73831,2013,04,07,    0.17,    3.05,   68.95,   99.38
51.04321,13.73831,2013,04,08,    0.00,    3.29,   70.68,   98.55
51.04321,13.73831,2013,04,09,    1.09,    4.36,   83.07,   97.99
51.04321,13.73831,2013,04,10,    1.55,    5.17,   89.57,   98.06
51.04321,13.73831,2013,04,11,    1.63,    6.18,   93.06,   97.91
51.04321,13.73831,2013,04,12,    5.84,    6.23,   88.76,   97.75
51.04321,13.73831,2013,04,13,    1.52,    5.62,   83.96,   98.99
51.04321,13.73831,2013,04,14,    0.08,    5.95,   80.85,  100.04
51.04321,13.73831,2013,04,15,    0.54,    6.64,   76.98,   99.73
51.04321,13.73831,2013,04,16,    1.01,    7.78,   79.26,   99.41
51.04321,13.73831,2013,04,17,    0.24,    7.82,   75.58,   99.62
51.04321,13.73831,2013,04,18,    0.92,    8.77,   79.24,   99.06
51.04321,13.73831,2013,04,19,    0.58,    6.03,   73.16,   99.55
51.04321,13.73831,2013,04,20,    0.23,    5.18,   77.84,  100.14
51.04321,13.73831,2013,04,21,    0.01,    6.15,   79.54,   99.44
51.04321,13.73831,2013,04,22,    0.59,    7.43,   82.60,   98.94
51.04321,13.73831,2013,04,23,    0.05,    6.74,   76.21,   99.37
51.04321,13.73831,2013,04,24,    0.01,    7.44,   79.45,   99.93
51.04321,13.73831,2013,04,25,    0.03,    8.35,   76.68,   99.74
51.04321,13.73831,2013,04,26,    2.06,    8.81,   72.55,   98.42
51.04321,13.73831,2013,04,27,    5.37,    6.23,   92.40,   98.11
51.04321,13.73831,2013,04,28,   10.74,    5.23,   81.80,   98.90
51.04321,13.73831,2013,04,29,    1.01,    6.25,   84.23,   99.15
51.04321,13.73831,2013,04,30,    5.71,    5.97,   87.23,   99.65
51.04321,13.73831,2013,05,01,    0.38,    6.25,   81.68,   99.80
51.04321,13.73831,2013,05,02,    0.43,    7.37,   89.87,   99.37
51.04321,13.73831,2013,05,03,    0.51,    6.33,   78.36,   99.13
51.04321,13.73831,2013,05,04,    0.16,    6.87,   74.24,   99.19
51.04321,13.73831,2013,05,05,    0.48,    7.22,   72.73,   99.72
51.04321,13.73831,2013,05,06,    0.91,    8.47,   80.81,   99.52
51.04321,13.73831,2013,05,07,    5.34,   10.40,   91.69,   99.02
51.04321,13.73831,2013,05,08,    2.79,   10.35,   82.75,   98.86
51.04321,13.73831,2013,05,09,    2.03,    9.88,   79.37,   98.80
51.04321,13.73831,2013,05,10,   11.96,    8.84,   88.73,   98.76
51.04321,13.73831,2013,05,11,    0.72,    7.25,   80.59,   98.93
51.04321,13.73831,2013,05,12,    1.72,    6.50,   78.98,   98.78
