-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2013 through 01/01/2021 
Location: Latitude  50.0837   Longitude 14.4963 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 337.97 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS
50.08371,14.49631,2013,03,16,    0.01,    1.98,   70.90,   97.73
50.08371,14.49631,2013,03,17,    0.01,    2.65,   77.12,   96.99
50.08371,14.49631,2013,03,18,    3.66,    3.53,   89.49,   95.67
50.08371,14.49631,2013,03,19,    4.82,    3.53,   89.57,   95.48
50.08371,14.49631,2013,03,20,    0.71,    3.87,   84.89,   96.44
50.08371,14.49631,2013,03,21,    0.52,    3.19,   86.70,   97.28
50.08371,14.49631,2013,03,22,    0.38,    2.67,   81.84,   97.75
50.08371,14.49631,2013,03,23,    0.05,    1.91,   70.96,   97.98
50.08371,14.49631,2013,03,24,    0.00,    1.64,   68.68,   97.93
50.08371,14.49631,2013,03,25,    0.24,    2.03,   74.70,   97.48
50.08371,14.49631,2013,03,26,    0.13,    2.12,   71.95,   97.13
50.08371,14.49631,2013,03,27,    1.37,    2.45,   83.34,   97.12
50.08371,14.49631,2013,03,28,    0.76,    3.11,   86.26,   96.97
50.08371,14.49631,2013,03,29,    4.25,    3.33,   83.52,   96.48
50.08371,14.49631,2013,03,30,    0.15,    3.07,   76.64,   96.53
50.08371,14.49631,2013,03,31,    1.05,    3.14,   85.10,   96.64
50.08371,14.49631,2013,04,01,    0.86,    2.89,   81.19,   96.88
50.08371,14.49631,2013,04,02,    0.14,    2.97,   80.76,   97.13
50.08371,14.49631,2013,04,03,    0.38,    3.03,   81.61,   97.36
50.08371,14.49631,2013,04,04,    0.31,    3.28,   84.80,   97.10
50.08371,14.49631,2013,04,05,    0.33,    3.54,   87.66,   96.77
50.08371,14.49631,2013,04,06,    0.41,    3.61,   87.29,   97.47
50.08371,14.49631,2013,04,07,    0.39,    3.10,   72.54,   97.82
50.08371,14.49631,2013,04,08,    0.01,    3.15,   67.48,   97.02
50.08371,14.49631,2013,04,09,    1.96,    4.38,   83.64,   96.50
50.08371,14.49631,2013,04,10,    1.45,    5.07,   89.27,   96.66
50.08371,14.49631,2013,04,11,    1.40,    6.03,   91.55,   96.62
50.08371,14.49631,2013,04,12,    4.24,    6.01,   86.71,   96.43
50.08371,14.49631,2013,04,13,    0.76,    5.39,   83.59,   97.64
50.08371,14.49631,2013,04,14,    0.06,    5.51,   78.10,   98.61
50.08371,14.49631,2013,04,15,    0.12,    5.96,   74.64,   98.35
50.08371,14.49631,2013,04,16,    0.62,    7.09,   77.01,   98.03
50.08371,14.49631,2013,04,17,    0.47,    7.95,   75.81,   98.18
50.08371,14.49631,2013,04,18,    1.17,    8.79,   78.36,   97.71
50.08371,14.49631,2013,04,19,    4.37,    6.43,   74.91,   98.05
50.08371,14.49631,2013,04,20,    2.85,    5.64,   85.41,   98.50
50.08371,14.49631,2013,04,21,    0.02,    6.52,   81.27,   97.88
50.08371,14.49631,2013,04,22,    0.86,    7.38,   82.56,   97.47
50.08371,14.49631,2013,04,23,    0.06,    6.76,   76.86,   97.97
50.08371,14.49631,2013,04,24,    0.00,    7.16,   74.42,   98.48
50.08371,14.49631,2013,04,25,    0.01,    7.67,   69.02,   98.32
50.08371,14.49631,2013,04,26,    0.34,    8.37,   68.65,   97.07
50.08371,14.49631,2013,04,27,    5.80,    7.52,   91.28,   96.45
50.08371,14.49631,2013,04,28,    3.36,    5.58,   82.65,   97.32
50.08371,14.49631,2013,04,29,    1.19,    6.61,   89.14,   97.73
50.08371,14.49631,2013,04,30,    3.69,    6.77,   85.82,   97.99
50.08371,14.49631,2013,05,01,    3.52,    6.83,   85.09,   98.19
50.08371,14.49631,2013,05,02,    5.37,    7.87,   91.78,   97.76
50.08371,14.49631,2013,05,03,    5.14,    7.02,   88.19,   97.52
50.08371,14.49631,2013,05,04,    2.01,    7.09,   77.90,   97.72
50.08371,14.49631,2013,05,05,    3.00,    7.56,   80.69,   98.24
50.08371,14.49631,2013,05,06,    2.45,    8.66,   90.46,   97.97
50.08371,14.49631,2013,05,07,    5.85,   10.19,   90.39,   97.54
50.08371,14.49631,2013,05,08,    2.22,   10.01,   82.74,   97.47
50.08371,14.49631,2013,05,09,    1.42,    9.75,   76.71,   97.40
50.08371,14.49631,2013,05,10,   19.28,    8.84,   89.82,   97.32
50.08371,14.49631,2013,05,11,    1.99,    7.30,   84.74,   97.46
50.08371,14.49631,2013,05,12,    1.40,    6.48,   78.26,   97.34
50.08371,14.49631,2013,05,13,    0.38,    5.64,   78.46,   97.59
50.08371,14.49631,2013,05,14,    0.07,    6.88,   76.22,   97.26
50.08371,14.49631,2013,05,15,    0.01,    8.04,   73.70,   96.55
50.08371,14.49631,2013,05,16,    0.15,    8.73,   72.92,   96.10
50.08371,14.49631,2013,05,17,    0.24,    9.96,   78.02,   96.04
50.08371,14.49631,2013,05,18,    6.61,    8.10,   77.27,   96.81
50.08371,14.49631,2013,05,19,    4.02,    9.02,   78.00,   96.74
50.08371,14.49631,2013,05,20,    1.01,    6.86,   73.17,   97.10
50.08371,14.49631,2013,05,21,    0.59,    6.77,   73.65,   97.13
50.08371,14.49631,2013,05,22,    2.72,    6.36,   83.21,   96.71
50.08371,14.49631,2013,05,23,    0.11,    4.58,   67.96,   96.79
50.08371,14.49631,2013,05,24,    0.52,    4.89,   71.12,   96.85
50.08371,14.49631,2013,05,25,    2.04,    5.71,   83.04,   96.91
50.08371,14.49631,2013,05,26,    8.14,    5.48,   86.92,   96.51
50.08371,14.49631,2013,05,27,    5.25,    6.36,   91.48,   96.64
50.08371,14.49631,2013,05,28,    2.81,    6.64,   77.77,   96.44
50.08371,14.49631,2013,05,29,    3.35,    7.76,   82.07,   96.13
50.08371,14.49631,2013,05,30,   28.61,    7.34,   93.80,   96.23
50.08371,14.49631,2013,05,31,    4.33,    7.79,   83.82,   95.94
50.08371,14.49631,2013,06,01,   28.94,    8.70,   94.11,   96.50
50.08371,14.49631,2013,06,02,   20.71,    7.97,   93.58,   97.10
50.08371,14.49631,2013,06,03,   16.01,    6.88,   91.03,   97.85
50.08371,14.49631,2013,06,04,    3.88,    7.91,   91.14,   97.81
50.08371,14.49631,2013,06,05,    0.38,    7.91,   83.36,   97.93
50.08371,14.49631,2013,06,06,    0.48,    8.97,   84.53,   98.09
50.08371,14.49631,2013,06,07,    1.11,    9.99,   81.22,   98.01
50.08371,14.49631,2013,06,08,    1.53,   10.41,   78.37,   97.62
50.08371,14.49631,2013,06,09,    9.24,   11.13,   84.34,   96.96
50.08371,14.49631,2013,06,10,    9.59,    9.68,   91.83,   96.86
50.08371,14.49631,2013,06,11,    0.03,    7.77,   71.15,   97.53
50.08371,14.49631,2013,06,12,    0.02,    7.93,   64.78,   97.99
50.08371,14.49631,2013,06,13,    0.00,    9.99,   72.78,   97.79
50.08371,14.49631,2013,06,14,    1.88,    8.42,   74.93,   97.84
50.08371,14.49631,2013,06,15,    0.07,    9.66,   77.08,   97.62
50.08371,14.49631,2013,06,16,    0.07,    9.79,   73.06,   97.71
50.08371,14.49631,2013,06,17,    0.03,   11.92,   76.32,   97.71
50.08371,14.49631,2013,06,18,    0.44,   15.29,   78.45,   97.63
50.08371,14.49631,2013,06,19,    0.63,   16.22,   85.65,   97.65
50.08371,14.49631,2013,06,20,    4.15,   16.21,   82.92,   97.23
50.08371,14.49631,2013,06,21,    1.02,   11.56,   75.23,   97.42
50.08371,14.49631,2013,06,22,    1.02,   10.55,   71.04,   97.65
50.08371,14.49631,2013,06,23,    1.41,   10.45,   75.37,   97.42
50.08371,14.49631,2013,06,24,   12.45,    8.56,   81.40,   97.74
50.08371,14.49631,2013,06,25,   32.35,    7.80,   88.97,   97.82
50.08371,14.49631,2013,06,26,    2.79,    6.58,   80.69,   98.24
50.08371,14.49631,2013,06,27,    0.47,    6.64,   71.49,   98.31
50.08371,14.49631,2013,06,28,    0.17,    7.00,   67.25,   98.00
50.08371,14.49631,2013,06,29,    1.25,    7.90,   77.96,   97.74
50.08371,14.49631,2013,06,30,    0.37,    6.60,   71.83,   98.09
50.08371,14.49631,2013,07,01,    0.02,    8.38,   71.38,   97.86
50.08371,14.49631,2013,07,02,    0.47,    9.42,   67.50,   97.60
50.08371,14.49631,2013,07,03,    2.22,   11.23,   78.93,   97.34
50.08371,14.49631,2013,07,04,    2.18,   11.29,   80.87,   97.96
50.08371,14.49631,2013,07,05,    1.78,   11.33,   83.04,   98.60
50.08371,14.49631,2013,07,06,    0.55,   11.06,   81.53,   98.84
50.08371,14.49631,2013,07,07,    0.02,    9.61,   72.48,   98.90
50.08371,14.49631,2013,07,08,    0.00,   10.05,   73.56,   98.85
50.08371,14.49631,2013,07,09,    0.01,   10.83,   70.46,   98.36
50.08371,14.49631,2013,07,10,    0.04,   10.42,   72.19,   97.71
50.08371,14.49631,2013,07,11,    1.20,    8.29,   77.85,   97.73
50.08371,14.49631,2013,07,12,    0.85,    8.75,   77.75,   97.96
50.08371,14.49631,2013,07,13,    0.14,    8.89,   74.34,   98.01
50.08371,14.49631,2013,07,14,    0.01,    9.29,   74.48,   98.03
50.08371,14.49631,2013,07,15,    0.01,    8.48,   72.44,   98.11
50.08371,14.49631,2013,07,16,    0.00,    8.39,   61.98,   98.32
50.08371,14.49631,2013,07,17,    0.00,    9.51,   62.73,   98.27
50.08371,14.49631,2013,07,18,    0.01,   10.35,   65.83,   98.25
50.08371,14.49631,2013,07,19,    0.00,   10.74,   67.90,   98.04
50.08371,14.49631,2013,07,20,    0.10,   10.15,   71.76,   98.03
50.08371,14.49631,2013,07,21,    0.00,    9.25,   63.50,   98.21
50.08371,14.49631,2013,07,22,    0.00,    9.32,   54.97,   97.87
50.08371,14.49631,2013,07,23,    0.00,    9.24,   52.53,   97.54
50.08371,14.49631,2013,07,24,    0.41,    9.43,   55.81,   97.56
50.08371,14.49631,2013,07,25,    2.98,   11.48,   70.45,   97.69
50.08371,14.49631,2013,07,26,    0.05,   11.36,   58.33,   97.62
50.08371,14.49631,2013,07,27,    0.01,   12.06,   53.80,   97.30
50.08371,14.49631,2013,07,28,    0.03,   12.27,   51.96,   97.21
50.08371,14.49631,2013,07,29,   23.23,   13.67,   72.68,   97.25
50.08371,14.49631,2013,07,30,    6.00,   10.46,   70.99,   97.76
50.08371,14.49631,2013,07,31,    0.49,   10.40,   69.52,   97.88
50.08371,14.49631,2013,08,01,    0.00,   10.46,   62.50,   97.96
50.08371,14.49631,2013,08,02,    0.00,   10.52,   53.39,   97.71
50.08371,14.49631,2013,08,03,    0.32,   11.24,   50.54,   97.68
50.08371,14.49631,2013,08,04,    7.73,   13.00,   69.01,   98.02
50.08371,14.49631,2013,08,05,    0.21,   11.46,   65.03,   97.93
50.08371,14.49631,2013,08,06,    7.09,   11.59,   56.67,   97.58
50.08371,14.49631,2013,08,07,    2.13,   12.41,   66.61,   97.37
50.08371,14.49631,2013,08,08,    0.60,   13.12,   72.24,   97.46
50.08371,14.49631,2013,08,09,   11.76,   10.29,   85.55,   97.96
50.08371,14.49631,2013,08,10,    0.24,    8.71,   65.93,   97.89
50.08371,14.49631,2013,08,11,    1.08,    8.31,   67.35,   97.80
50.08371,14.49631,2013,08,12,    0.01,    7.59,   56.24,   97.67
50.08371,14.49631,2013,08,13,    0.68,    7.55,   63.11,   97.64
50.08371,14.49631,2013,08,14,    0.05,    6.70,   61.45,   98.17
50.08371,14.49631,2013,08,15,    0.00,    6.08,   49.61,   98.37
50.08371,14.49631,2013,08,16,    0.00,    6.53,   49.74,   98.10
50.08371,14.49631,2013,08,17,    0.00,    7.86,   50.75,   97.69
50.08371,14.49631,2013,08,18,    0.02,    9.55,   52.65,   97.57
50.08371,14.49631,2013,08,19,    3.28,   10.26,   70.71,   97.66
50.08371,14.49631,2013,08,20,    1.04,    8.41,   77.02,   98.41
50.08371,14.49631,2013,08,21,    0.00,    7.01,   62.59,   98.57
50.08371,14.49631,2013,08,22,    0.00,    7.23,   63.16,   98.17
50.08371,14.49631,2013,08,23,    0.00,    7.73,   63.80,   97.97
50.08371,14.49631,2013,08,24,    0.01,    8.06,   61.39,   97.58
50.08371,14.49631,2013,08,25,   11.57,    8.66,   79.06,   97.28
50.08371,14.49631,2013,08,26,    4.13,    8.17,   72.25,   97.53
50.08371,14.49631,2013,08,27,    0.29,    7.64,   68.28,   97.53
50.08371,14.49631,2013,08,28,    2.33,    8.44,   77.17,   97.68
50.08371,14.49631,2013,08,29,    0.24,    7.17,   58.18,   98.11
50.08371,14.49631,2013,08,30,    0.00,    7.20,   51.94,   98.01
50.08371,14.49631,2013,08,31,    0.27,    8.06,   57.87,   97.85
50.08371,14.49631,2013,09,01,    3.41,    6.49,   63.01,   98.23
50.08371,14.49631,2013,09,02,    0.90,    6.83,   67.25,   98.08
50.08371,14.49631,2013,09,03,    2.77,    9.78,   81.89,   98.35
50.08371,14.49631,2013,09,04,    0.78,    9.77,   76.91,   98.46
50.08371,14.49631,2013,09,05,    0.01,    8.92,   66.89,   97.98
50.08371,14.49631,2013,09,06,    0.00,    7.58,   59.33,   97.61
50.08371,14.49631,2013,09,07,    0.00,    7.28,   56.84,   97.89
50.08371,14.49631,2013,09,08,    0.04,    8.59,   64.10,   97.80
50.08371,14.49631,2013,09,09,    8.17,    7.99,   73.54,   97.57
50.08371,14.49631,2013,09,10,    6.29,    7.06,   75.49,   97.49
50.08371,14.49631,2013,09,11,    0.12,    6.32,   70.13,   97.37
50.08371,14.49631,2013,09,12,    1.89,    6.99,   80.75,   97.34
50.08371,14.49631,2013,09,13,    1.82,    7.10,   78.89,   97.74
50.08371,14.49631,2013,09,14,    0.41,    7.60,   69.32,   97.45
50.08371,14.49631,2013,09,15,    1.74,    9.20,   85.35,   97.02
50.08371,14.49631,2013,09,16,    5.84,    8.33,   87.73,   96.41
50.08371,14.49631,2013,09,17,    2.91,    5.59,   72.19,   96.36
